"","x"
"1","ENSMUST00000032330.15"
"2","ENSMUST00000029041.5"
"3","ENSMUST00000004774.3"
"4","ENSMUST00000162746.1"
"5","ENSMUST00000003640.3"
"6","ENSMUST00000103122.9"
"7","ENSMUST00000219033.1"
"8","ENSMUST00000020234.13"
"9","ENSMUST00000027941.13"
"10","ENSMUST00000031249.7"
"11","ENSMUST00000092956.3"
"12","ENSMUST00000187885.1"
"13","ENSMUST00000023610.14"
"14","ENSMUST00000198030.1"
"15","ENSMUST00000046746.9"
"16","ENSMUST00000081342.6"
"17","ENSMUST00000038886.2"
"18","ENSMUST00000086399.5"
"19","ENSMUST00000048452.5"
"20","ENSMUST00000028239.7"
"21","ENSMUST00000171384.7"
"22","ENSMUST00000034339.9"
"23","ENSMUST00000020145.11"
"24","ENSMUST00000057740.6"
"25","ENSMUST00000061829.7"
